type	LP	IPop	PPPGDP	LP_rank	LP_perc_Asia	LP_perc_World	IPop_rank	IPop_perc_Asia	IPop_perc_World	PPPGDP_rank	PPPGDP_perc_Asia	PPPGDP_perc_World	Language
raj	1.2433	0.1877	6.7760	109.0000	0.0647	0.0177	126.0000	0.0469	0.0070	132.0000	0.0463	0.0066	Rajasthani
hoc	1.2309	0.1859	6.7082	110.0000	0.0640	0.0175	127.0000	0.0464	0.0069	133.0000	0.0458	0.0066	Ho
ug_Cyrl	0.3443	0.1856	7.9182	168.0000	0.0179	0.0049	128.0000	0.0463	0.0069	124.0000	0.0541	0.0078	Uyghur (Cyrillic)
kaa	0.4839	0.1848	2.5044	153.0000	0.0252	0.0069	129.0000	0.0461	0.0069	172.0000	0.0171	0.0025	Kara-Kalpak
mtr	1.2185	0.1840	6.6405	111.0000	0.0634	0.0174	130.0000	0.0459	0.0069	134.0000	0.0453	0.0065	Mewari
lki	0.5850	0.1837	9.4569	148.0000	0.0304	0.0083	131.0000	0.0459	0.0069	118.0000	0.0646	0.0093	Laki
rej	1.1406	0.1804	10.9892	116.0000	0.0593	0.0162	132.0000	0.0450	0.0067	106.0000	0.0750	0.0108	Rejang
unr_Beng	1.1812	0.1784	6.4372	112.0000	0.0615	0.0168	133.0000	0.0445	0.0067	138.0000	0.0440	0.0063	unr (Bengali)
bhi	1.1439	0.1727	6.2339	115.0000	0.0595	0.0163	134.0000	0.0431	0.0064	139.0000	0.0426	0.0061	Bhilali
yi	0.2361	0.1672	7.7253	191.0000	0.0123	0.0034	135.0000	0.0417	0.0062	125.0000	0.0528	0.0076	Yiddish
bgx	0.3518	0.1627	6.6402	166.0000	0.0183	0.0050	136.0000	0.0406	0.0061	135.0000	0.0453	0.0065	Balkan Gagauz Turkish
gor	1.0166	0.1608	9.7947	122.0000	0.0529	0.0145	137.0000	0.0401	0.0060	115.0000	0.0669	0.0096	Gorontalo
hoj	1.0195	0.1540	5.5563	121.0000	0.0530	0.0145	138.0000	0.0384	0.0057	142.0000	0.0379	0.0055	Hadothi
kha	0.9947	0.1502	5.4208	123.0000	0.0517	0.0142	139.0000	0.0375	0.0056	144.0000	0.0370	0.0053	Khasi
nxq	0.3266	0.1496	3.8758	172.0000	0.0170	0.0047	140.0000	0.0373	0.0056	151.0000	0.0265	0.0038	Naxi
bg	0.3212	0.1486	6.0628	175.0000	0.0167	0.0046	141.0000	0.0371	0.0055	140.0000	0.0414	0.0059	Bulgarian
nij	0.9174	0.1451	8.8391	127.0000	0.0477	0.0131	142.0000	0.0362	0.0054	120.0000	0.0604	0.0087	Ngaju
prd	0.7515	0.1425	6.9268	137.0000	0.0391	0.0107	143.0000	0.0356	0.0053	131.0000	0.0473	0.0068	Parsi-Dari
kfr	0.9325	0.1408	5.0820	125.0000	0.0485	0.0133	144.0000	0.0351	0.0053	145.0000	0.0347	0.0050	Kachchi
krj	0.3802	0.1407	2.5080	161.0000	0.0198	0.0054	145.0000	0.0351	0.0053	171.0000	0.0171	0.0025	Kinaray-a
ady	0.2983	0.1380	5.6298	177.0000	0.0155	0.0042	146.0000	0.0344	0.0052	141.0000	0.0384	0.0055	Adyghe
kge	0.7935	0.1255	7.6446	134.0000	0.0413	0.0113	147.0000	0.0313	0.0047	127.0000	0.0522	0.0075	Komering
new	0.9171	0.1220	2.0592	128.0000	0.0477	0.0131	148.0000	0.0305	0.0046	177.0000	0.0141	0.0020	Newari
khb	0.2585	0.1184	3.0683	187.5000	0.0134	0.0037	149.5000	0.0296	0.0044	161.5000	0.0210	0.0030	Lü
tdd	0.2585	0.1184	3.0683	187.5000	0.0134	0.0037	149.5000	0.0296	0.0044	161.5000	0.0210	0.0030	Tai Nüa
jml	0.8893	0.1183	1.9968	130.0000	0.0463	0.0127	151.0000	0.0295	0.0044	178.0000	0.0136	0.0020	Jumli
dtp	0.1677	0.1123	3.8841	199.0000	0.0087	0.0024	152.0000	0.0280	0.0042	150.0000	0.0265	0.0038	Central Dusun
taj	0.8337	0.1109	1.8720	133.0000	0.0434	0.0119	153.0000	0.0277	0.0041	181.0000	0.0128	0.0018	Eastern Tamang
grt	0.7733	0.1069	3.9534	136.0000	0.0402	0.0110	154.0000	0.0267	0.0040	149.0000	0.0270	0.0039	Garo
haz	1.8026	0.1064	3.4674	98.0000	0.0938	0.0257	155.0000	0.0266	0.0040	155.0000	0.0237	0.0034	Hazaragi
aoz	0.6695	0.1059	6.4502	141.0000	0.0348	0.0095	156.0000	0.0264	0.0040	137.0000	0.0440	0.0063	Uab Meto
kdt	0.4091	0.1039	4.9835	157.0000	0.0213	0.0058	157.0000	0.0259	0.0039	146.0000	0.0340	0.0049	Kuy
bto	0.2730	0.1010	1.8006	185.0000	0.0142	0.0039	158.0000	0.0252	0.0038	183.0000	0.0123	0.0018	Rinconada Bikol
unx_Beng	0.5968	0.0901	3.2525	146.0000	0.0310	0.0085	159.0000	0.0225	0.0034	159.0000	0.0222	0.0032	unx (Bengali)
bfy	0.6101	0.0895	2.8441	144.0000	0.0317	0.0087	160.0000	0.0223	0.0033	165.0000	0.0194	0.0028	Bagheli
tr	0.2298	0.0878	1.1896	193.0000	0.0120	0.0033	161.0000	0.0219	0.0033	195.0000	0.0081	0.0012	Turkish
uz_Arab	1.4359	0.0847	2.7621	105.0000	0.0747	0.0204	162.0000	0.0211	0.0032	166.0000	0.0189	0.0027	Uzbek (Arabic)
pl	0.1181	0.0836	3.8627	206.0000	0.0061	0.0017	163.0000	0.0209	0.0031	152.0000	0.0264	0.0038	Polish
hnd	0.7486	0.0816	3.4238	139.0000	0.0389	0.0107	164.0000	0.0204	0.0030	156.0000	0.0234	0.0034	Southern Hindko
ccp	0.6926	0.0750	2.9885	140.0000	0.0360	0.0099	165.0000	0.0187	0.0028	163.0000	0.0204	0.0029	Chakma
thl	0.5558	0.0739	1.2480	150.0000	0.0289	0.0079	166.0000	0.0184	0.0028	193.0000	0.0085	0.0012	Dangaura Tharu
lad	0.1023	0.0724	3.3476	210.5000	0.0053	0.0015	167.0000	0.0181	0.0027	157.0000	0.0229	0.0033	Ladino
kiu	0.1453	0.0672	2.7427	201.0000	0.0076	0.0021	168.0000	0.0168	0.0025	168.0000	0.0187	0.0027	Kirmanjki
srx	0.4352	0.0657	2.3716	155.0000	0.0226	0.0062	169.5000	0.0164	0.0025	174.0000	0.0162	0.0023	Sirmauri
tg_Arab	0.6025	0.0657	2.7557	145.0000	0.0313	0.0086	169.5000	0.0164	0.0025	167.0000	0.0188	0.0027	Tajik (Arabic)
shn	3.3282	0.0582	15.1006	73.0000	0.1731	0.0474	171.0000	0.0145	0.0022	96.0000	0.1031	0.0148	Shan
hu	0.0787	0.0557	2.5751	218.0000	0.0041	0.0011	172.0000	0.0139	0.0021	170.0000	0.0176	0.0025	Hungarian
bap	0.4168	0.0554	0.9360	156.0000	0.0217	0.0059	173.0000	0.0138	0.0021	200.0000	0.0064	0.0009	Bantawa
kvr	0.3471	0.0549	3.3445	167.0000	0.0181	0.0049	174.0000	0.0137	0.0020	158.0000	0.0228	0.0033	Kerinci
saz	0.3606	0.0544	1.9650	164.0000	0.0188	0.0051	175.0000	0.0136	0.0020	179.0000	0.0134	0.0019	Saurashtra
lbw	0.3223	0.0510	3.1056	174.0000	0.0168	0.0046	176.0000	0.0127	0.0019	160.0000	0.0212	0.0030	Tolaki
ku_Arab	0.0715	0.0504	1.2384	220.0000	0.0037	0.0010	177.0000	0.0126	0.0019	194.0000	0.0085	0.0012	Kurdish (Arabic)
uz_Latn	0.5152	0.0501	6.6381	151.0000	0.0268	0.0073	178.0000	0.0125	0.0019	136.0000	0.0453	0.0065	Uzbek (Latin)
kjg	0.3927	0.0491	1.8320	160.0000	0.0204	0.0056	179.0000	0.0123	0.0018	182.0000	0.0125	0.0018	Khmu
sd_Deva	0.3233	0.0488	1.7618	173.0000	0.0168	0.0046	180.0000	0.0122	0.0018	184.0000	0.0120	0.0017	Sindhi (Devanagari)
tdg	0.3613	0.0480	0.8112	163.0000	0.0188	0.0051	181.0000	0.0120	0.0018	205.0000	0.0055	0.0008	Western Tamang
bft	0.4058	0.0474	1.9232	158.0000	0.0211	0.0058	182.0000	0.0118	0.0018	180.0000	0.0131	0.0019	Balti
gay	0.2975	0.0471	2.8667	178.0000	0.0155	0.0042	183.0000	0.0118	0.0018	164.0000	0.0196	0.0028	Gayo
lif_Deva	0.3380	0.0456	0.8626	169.0000	0.0176	0.0048	184.0000	0.0114	0.0017	203.0000	0.0059	0.0008	lif (Devanagari)
thr	0.3335	0.0444	0.7488	170.0000	0.0173	0.0047	185.0000	0.0111	0.0017	207.0000	0.0051	0.0007	Rana Tharu
ab	0.1023	0.0442	0.7766	210.5000	0.0053	0.0015	186.0000	0.0110	0.0016	206.0000	0.0053	0.0008	Abkhazian
bfq	0.2860	0.0432	1.5585	181.5000	0.0149	0.0041	187.5000	0.0108	0.0016	187.5000	0.0106	0.0015	Badaga
njo	0.2860	0.0432	1.5585	181.5000	0.0149	0.0041	187.5000	0.0108	0.0016	187.5000	0.0106	0.0015	Ao Naga
rob	0.2727	0.0431	2.6278	186.0000	0.0142	0.0039	189.0000	0.0108	0.0016	169.0000	0.0179	0.0026	Tae'
mnw	0.8807	0.0428	4.9619	131.0000	0.0458	0.0125	190.0000	0.0107	0.0016	147.0000	0.0339	0.0049	Mon
os	0.0986	0.0425	0.7059	212.0000	0.0051	0.0014	191.0000	0.0106	0.0016	209.0000	0.0048	0.0007	Ossetic
mgp	0.3057	0.0407	0.6864	176.0000	0.0159	0.0044	192.0000	0.0102	0.0015	210.0000	0.0047	0.0007	Eastern Magar
gju	0.3652	0.0398	1.6702	162.0000	0.0190	0.0052	193.0000	0.0099	0.0015	186.0000	0.0114	0.0016	Gujari
lcp	0.0857	0.0381	1.0331	214.0000	0.0045	0.0012	194.0000	0.0095	0.0014	198.0000	0.0071	0.0010	Western Lawa
thq	0.2779	0.0370	0.6240	183.0000	0.0145	0.0040	195.5000	0.0092	0.0014	211.0000	0.0043	0.0006	Kochila Tharu
ka	0.0975	0.0370	1.6919	213.0000	0.0051	0.0014	195.5000	0.0092	0.0014	185.0000	0.0116	0.0017	Georgian
sxn	0.2281	0.0361	2.1978	194.5000	0.0119	0.0032	197.5000	0.0090	0.0013	175.5000	0.0150	0.0022	Sangir
mdr	0.2281	0.0361	2.1978	194.5000	0.0119	0.0032	197.5000	0.0090	0.0013	175.5000	0.0150	0.0022	Mandar
cjm	0.0798	0.0350	0.4227	217.0000	0.0042	0.0011	199.0000	0.0087	0.0013	216.0000	0.0029	0.0004	Eastern Cham
tsj	0.1131	0.0338	0.8139	209.0000	0.0059	0.0016	200.0000	0.0084	0.0013	204.0000	0.0056	0.0008	Tshangla
am	0.0464	0.0329	1.5193	225.0000	0.0024	0.0007	201.0000	0.0082	0.0012	189.0000	0.0104	0.0015	Amharic
kvx	0.2921	0.0318	1.3361	179.0000	0.0152	0.0042	202.0000	0.0079	0.0012	190.0000	0.0091	0.0013	Parkari Koli
mrd	0.2307	0.0307	0.5179	192.0000	0.0120	0.0033	203.0000	0.0077	0.0011	213.0000	0.0035	0.0005	Western Magar
khw	0.2739	0.0299	1.2526	184.0000	0.0142	0.0039	204.0000	0.0075	0.0011	192.0000	0.0086	0.0012	Khowar
mvy	0.2556	0.0279	1.1691	189.0000	0.0133	0.0036	205.0000	0.0070	0.0010	196.0000	0.0080	0.0011	Indus Kohistani
ria	0.1616	0.0244	0.8809	200.0000	0.0084	0.0023	206.0000	0.0061	0.0009	202.0000	0.0060	0.0009	Riang (India)
kxp	0.2191	0.0239	1.0021	196.0000	0.0114	0.0031	207.0000	0.0060	0.0009	199.0000	0.0068	0.0010	Wadiyara Koli
gjk	0.2008	0.0219	0.9186	197.0000	0.0104	0.0029	208.0000	0.0055	0.0008	201.0000	0.0063	0.0009	Kachi Koli
my	0.3288	0.0214	1.0416	171.0000	0.0171	0.0047	209.0000	0.0053	0.0008	197.0000	0.0071	0.0010	Burmese
sly	0.1339	0.0212	1.2900	203.0000	0.0070	0.0019	210.0000	0.0053	0.0008	191.0000	0.0088	0.0013	Selayar
xsr	0.1445	0.0192	0.3245	202.0000	0.0075	0.0021	211.0000	0.0048	0.0007	222.0000	0.0022	0.0003	Sherpa
rjs	0.1223	0.0163	0.2746	204.0000	0.0064	0.0017	212.0000	0.0041	0.0006	226.0000	0.0019	0.0003	Rajbanshi
syr	0.1739	0.0160	2.4981	198.0000	0.0090	0.0025	213.0000	0.0040	0.0006	173.0000	0.0171	0.0025	Syriac
tsf	0.1195	0.0159	0.2683	205.0000	0.0062	0.0017	214.0000	0.0040	0.0006	227.0000	0.0018	0.0003	Southwestern Tamang
lep	0.0754	0.0157	0.4545	219.0000	0.0039	0.0011	215.0000	0.0039	0.0006	215.0000	0.0031	0.0004	Lepcha
hi	0.1167	0.0155	0.2621	207.5000	0.0061	0.0017	216.5000	0.0039	0.0006	228.5000	0.0018	0.0003	Hindi
ggn	0.1167	0.0155	0.2621	207.5000	0.0061	0.0017	216.5000	0.0039	0.0006	228.5000	0.0018	0.0003	Eastern Gurung
cja	0.2414	0.0145	0.7378	190.0000	0.0126	0.0034	218.0000	0.0036	0.0005	208.0000	0.0050	0.0007	Western Cham
bpy	0.0845	0.0128	0.4608	215.0000	0.0044	0.0012	219.0000	0.0032	0.0005	214.0000	0.0031	0.0005	Bishnupriya
ttt_Latn	0.0205	0.0120	0.3487	229.0000	0.0011	0.0003	220.0000	0.0030	0.0004	219.0000	0.0024	0.0003	Muslim Tat (Latin)
fr	0.0165	0.0117	0.2864	230.0000	0.0009	0.0002	221.0000	0.0029	0.0004	224.0000	0.0020	0.0003	French
gvr	0.0806	0.0107	0.1810	216.0000	0.0042	0.0011	222.0000	0.0027	0.0004	232.0000	0.0012	0.0002	Western Gurung
kac	0.8666	0.0104	3.7651	132.0000	0.0451	0.0123	223.0000	0.0026	0.0004	153.0000	0.0257	0.0037	Kachin
sr_Latn	0.0214	0.0099	0.4042	227.5000	0.0011	0.0003	224.5000	0.0025	0.0004	217.5000	0.0028	0.0004	Serbian (Latin)
lzz_Latn	0.0214	0.0099	0.4042	227.5000	0.0011	0.0003	224.5000	0.0025	0.0004	217.5000	0.0028	0.0004	Laz (Latin)
mwv	0.0595	0.0094	0.5733	223.0000	0.0031	0.0008	226.0000	0.0023	0.0004	212.0000	0.0039	0.0006	Mentawai
tkt	0.0667	0.0089	0.1498	222.0000	0.0035	0.0009	227.0000	0.0022	0.0003	233.0000	0.0010	0.0001	Kathoriya Tharu
tkr_Latn	0.0149	0.0087	0.2536	233.5000	0.0008	0.0002	228.5000	0.0022	0.0003	230.0000	0.0017	0.0002	Tsakhur (Latin)
btv	0.0670	0.0087	0.3349	221.0000	0.0035	0.0010	228.5000	0.0022	0.0003	220.0000	0.0023	0.0003	Bateri
bra	0.0510	0.0077	0.2778	224.0000	0.0027	0.0007	230.0000	0.0019	0.0003	225.0000	0.0019	0.0003	Braj
sq	0.0161	0.0074	0.3031	231.0000	0.0008	0.0002	231.0000	0.0018	0.0003	223.0000	0.0021	0.0003	Albanian
ti	0.0102	0.0072	0.3348	236.0000	0.0005	0.0001	232.0000	0.0018	0.0003	221.0000	0.0023	0.0003	Tigrinya
hnn	0.0156	0.0058	0.1029	232.0000	0.0008	0.0002	233.0000	0.0014	0.0002	235.0000	0.0007	0.0001	Hanunoo
tdh	0.0333	0.0044	0.0749	226.0000	0.0017	0.0005	234.0000	0.0011	0.0002	239.0000	0.0005	0.0001	Thulung
trv	0.0047	0.0037	0.1942	245.0000	0.0002	0.0001	235.0000	0.0009	0.0001	231.0000	0.0013	0.0002	Taroko
tbw	0.0091	0.0034	0.0598	237.0000	0.0005	0.0001	236.0000	0.0008	0.0001	243.0000	0.0004	0.0001	Tagbanwa
vi	0.0068	0.0031	0.0807	240.5000	0.0004	0.0001	237.0000	0.0008	0.0001	238.0000	0.0006	0.0001	Vietnamese
bku	0.0072	0.0027	0.0476	239.0000	0.0004	0.0001	238.0000	0.0007	0.0001	245.0000	0.0003	0.0000	Buhid
uz_Cyrl	0.0054	0.0025	0.0646	242.0000	0.0003	0.0001	239.0000	0.0006	0.0001	241.0000	0.0004	0.0001	Uzbek (Cyrillic)
gbz	0.0076	0.0024	0.1232	238.0000	0.0004	0.0001	240.0000	0.0006	0.0001	234.0000	0.0008	0.0001	Zoroastrian Dari
sa	0.0149	0.0023	0.0813	233.5000	0.0008	0.0002	241.0000	0.0006	0.0001	237.0000	0.0006	0.0001	Sanskrit
lwl	0.0068	0.0020	0.0965	240.5000	0.0004	0.0001	242.0000	0.0005	0.0001	236.0000	0.0007	0.0001	Eastern Lawa
el	0.0037	0.0017	0.0707	246.0000	0.0002	0.0001	243.0000	0.0004	0.0001	240.0000	0.0005	0.0001	Greek
kht	0.0126	0.0013	0.0642	235.0000	0.0007	0.0002	244.5000	0.0003	0.0000	242.0000	0.0004	0.0001	Khamti
tru	0.0028	0.0013	0.0534	247.0000	0.0001	0.0000	244.5000	0.0003	0.0000	244.0000	0.0004	0.0001	Turoyo
dv	0.0050	0.0008	0.0271	243.5000	0.0003	0.0001	246.0000	0.0002	0.0000	246.0000	0.0002	0.0000	Divehi
unr_Deva	0.0050	0.0007	0.0112	243.5000	0.0003	0.0001	247.0000	0.0002	0.0000	249.0000	0.0001	0.0000	unr (Devanagari)
ky_Latn	0.0011	0.0005	0.0202	249.0000	0.0001	0.0000	248.0000	0.0001	0.0000	247.0000	0.0001	0.0000	Kyrgyz (Latin)
dz	0.0025	0.0004	0.0136	248.0000	0.0001	0.0000	249.0000	0.0001	0.0000	248.0000	0.0001	0.0000	Dzongkha
kk_Cyrl	0.0005	0.0002	0.0101	250.0000	0.0000	0.0000	250.0000	0.0000	0.0000	250.0000	0.0001	0.0000	Kazakh (Cyrillic)
lzh	0.0000	0.0000	0.0000	251.0000	0.0000	0.0000	251.0000	0.0000	0.0000	251.0000	0.0000	0.0000	Literary Chinese
